,uuid,KEY,City,Site,Sex_HH,ObsHandWashPLACE,ObsHandWashSOAP,ObsHandWashWATER,ToiletFacility,ToiletFacilityTYPE,ToiletFacilityTYPE_Dry,ToiletFacilityTYPE_Flush,ToiletFacilitySHARE,ToiletROOF,ToiletFacilityCLEAN,ToiletFacilitySAFE,StreetFood,dist2wc,HH_Recor_2_lag,HH_Recor_2_std,b_area,NN_100,n_blg_cc,n_blg_ccM,n_CAR,n_CARM,n_mn_Bdev,n_mn_BdevM,WCdirtyS
826,4add689d7a314c899ba5137cc65e8265,uuid:2e7403c2-5128-4a60-bd9f-8923edd8a336,Nairobi,Mabatini,M,Obs_Mobile,SoapOrDeterg,Water_OK,Own_YardPlot,Flush,,Flush_piped,Y,,Clean,Any_time,0_1,0.0,1608.3592716856272,0.3027527097734623,26.802270469980296,273,0.58458198803243,0.49200109117496,0.653526140081144,0.720750750653108,12.528110528470362,2.038386516568343,0.0
827,4add689d7a314c899ba5137cc65e8265,uuid:985aafa4-9208-4420-a436-9efbff25ea7e,Nairobi,Mabatini,F,Obs_Mobile,None,Water_OK,Own_Dwelling,Flush,,Flush_NA,N,,,,2_4,0.0,1612.0998496209575,0.42633156079779494,141.79183943600816,320,0.39271294603985,0.465238973053201,0.941601510465568,0.684509654027644,2.621428756625289,2.891747891281848,
828,4add689d7a314c899ba5137cc65e8265,uuid:f14cdb5e-64e4-46a8-983a-60c60d73737f,Nairobi,Mabatini,F,Obs_Mobile,SoapOrDeterg,Water_OK,Own_YardPlot,Flush,,Flush_river,Y,,Dirty,Any_time,5_Or_More,0.0,1613.8848180448958,0.48530222008056734,139.8040030217283,231,0.458168722049562,0.470924904923014,0.955746449030881,0.667623418635953,4.68744e-09,2.503642885847601,1.0
829,de1472b6c9754103927d0d478c541e68,uuid:24e14d26-c451-4898-87fb-96faf7afd6f8,Nairobi,Mabatini,F,,,,Own_YardPlot,Flush,,Flush_piped,Y,,Clean,Any_time,2_4,0.0,1619.4283435114207,0.6684457127763781,129.69072813088118,172,0.169259836206529,0.447783221082974,0.848884636463733,0.627729799790456,0.502884778754215,2.702901906406464,0.0
830,de1472b6c9754103927d0d478c541e68,uuid:355fc988-d5f7-4d3c-8b3c-941803f0a2ed,Nairobi,Mabatini,M,,,,Own_YardPlot,Flush,,Flush_piped,Y,,Clean,Any_time,5_Or_More,0.0,1608.1045103114636,0.29433606441843646,259.06444830095865,208,0.480168478286669,0.471244019119347,0.677547512975314,0.630136794213498,9.074265277759308,4.692182667567742,0.0
831,4add689d7a314c899ba5137cc65e8265,uuid:1b5aebfa-2082-4c50-ae7f-7aa788af1cd2,Nairobi,Mabatini,F,Obs_Mobile,SoapOrDeterg,Water_OK,Public,Flush,,Flush_piped,Y,,Clean,During_Day,0_1,29.9596430633933,1624.8013032094273,0.8459541613528043,123.84041930712583,188,0.396321002012375,0.462049823360674,0.684051794653701,0.62471544741009,0.574186890473939,2.452097555543504,0.0
832,de1472b6c9754103927d0d478c541e68,uuid:4bb4174d-5ae8-4870-b2f4-a8ffd801f39c,Nairobi,Mabatini,F,Obs_Mobile,SoapOrDeterg,Water_OK,Public,Flush,,Flush_piped,Y,,Clean,During_Day,5_Or_More,7.908856593000848,1609.9736493018147,0.3560874977065043,27.98825420247855,259,0.632381721152182,0.498486672605765,0.381861091794496,0.637804913422898,2.568424902784735,2.803870169791039,0.0
833,4add689d7a314c899ba5137cc65e8265,uuid:75ddf336-6e4c-4bc5-b157-2317ac5c236a,Nairobi,Mabatini,M,Obs_Mobile,SoapOrDeterg,Water_OK,Own_YardPlot,DryOrCompost,Dry_FreshLife,,Y,,Clean,Any_time,0_1,0.0,1609.6711562411665,0.34609392304397346,176.9227677116503,325,0.294697304552408,0.469809619212059,0.751486121244461,0.691974350532303,1.0382017e-08,3.107693540786404,0.0
834,de1472b6c9754103927d0d478c541e68,uuid:7928eb23-8dc8-44ab-8a94-b71e8e9bd524,Nairobi,Mabatini,M,Obs_Mobile,SoapOrDeterg,Water_NOT_OK,Public,Flush,,Flush_river,Y,,Clean,Any_time,5_Or_More,26.560536890637795,1602.3636206578083,0.10467217837683644,67.11216422642185,239,0.284697143151435,0.480173558635543,0.761030703131337,0.623829494885262,2.685158980304806,4.306037363688902,0.0
835,de1472b6c9754103927d0d478c541e68,uuid:cb1c4d00-a50a-4072-8208-88e2833c672e,Nairobi,Mabatini,F,,,,Public,Flush,,Flush_piped,Y,,V_Clean,During_Day,5_Or_More,17.461666501122597,1622.7024885332053,0.7766148478336975,69.04549385476449,196,0.465744343344648,0.464801513143954,1.000411299412808,0.628877546252213,0.158936823346487,2.643794833610131,0.0
